ensembl_id,detect_frac,mean_expr,log_subtype_f,log_donor_f,libsize_corr,breadth_over_depth,subtype_over_donor,is_ambient,loao_score
ENSG00000171345,0.021206225680933853,0.040226094,1.744206630258665,3.38487038260196,-0.014744196436927096,0.5271758539874468,0.5152949546380822,1,0.9592275977561687
ENSG00000170421,0.01926070038910506,0.035809904,1.07253180446816,2.8494366071744563,-0.017401908249569355,0.5378595878917852,0.3764013565936806,1,0.9594605366187826
ENSG00000213658,0.2865758754863813,0.53718555,0.11385810841417106,2.5629794218089494,0.09124936417794326,0.533476515939803,0.04442412117917438,0,0.6171708441301434
ENSG00000182866,0.4388715953307393,0.8677866,4.629949246195881,2.962993487657357,0.11305064094274501,0.5057367816777795,1.562591772638851,0,0.01976856750741051
ENSG00000138795,0.07910505836575875,0.13750301,6.346917132180285,2.5009098751695746,0.10418969601426555,0.5752969090011734,2.5378432046656343,0,0.06931771126609243
ENSG00000139329,0.010233463035019456,0.017443947,1.1343562915832006,2.5631226187364837,0.03204354478039417,0.5866483511557087,0.442568093813004,1,0.921059933077615
ENSG00000090382,0.18268482490272372,0.35776684,0.4463857712247926,4.713525499043721,-0.015133663912833665,0.5106253740425991,0.09470316248747467,1,0.9865361116133511
ENSG00000019169,0.05221789883268482,0.093949445,1.0238226521430025,3.3571482591562143,0.01735305062269489,0.555808488910767,0.3049679588474088,1,0.9571871062914251
ENSG00000185499,0.0188715953307393,0.03618115,2.131857221820949,3.0457303975919694,-0.04242614427166082,0.5215864144739383,0.6999494188672932,1,0.9557467308939414
ENSG00000131400,0.03054474708171206,0.059733324,0.9990626417263226,3.741285878236683,-0.05182231906534836,0.51135187467681,0.2670372364587103,1,0.9889209086838605
ENSG00000105374,0.41649805447470817,1.25565,10.177595402682817,3.99531607839412,0.015495481937802608,0.331699151873472,2.5473817848157854,0,0.0008270045955831042
ENSG00000188389,0.0719455252918288,0.13376722,5.044009858779844,2.7083987756193584,0.021751419993977145,0.5378412341338821,1.862358639423907,0,0.4494132426936334
ENSG00000261371,0.02603112840466926,0.04607146,5.504700165346279,1.5388598588987379,0.022891130845141553,0.5650163722013962,3.577128959153977,1,0.01928733295725242
ENSG00000180644,0.22669260700389104,0.48231018,8.534486904857117,3.1712554032078133,0.042259457990667326,0.47001414926173524,2.691201376030529,0,0.019340421354811423
