ensembl_id,host
ENSG00000234745,thinkstation2
ENSG00000265972,thinkstation1
ENSG00000271503,thinkstation2
ENSG00000008517,thinkstation1
ENSG00000075624,thinkstation2
ENSG00000104529,thinkstation1
ENSG00000111229,thinkstation2
ENSG00000112306,thinkstation1
ENSG00000113387,thinkstation2
ENSG00000113558,thinkstation1
ENSG00000124614,thinkstation2
ENSG00000130755,thinkstation1
ENSG00000136942,thinkstation2
ENSG00000150991,thinkstation1
ENSG00000156467,thinkstation2
ENSG00000169442,thinkstation1
ENSG00000170889,thinkstation2
ENSG00000173812,thinkstation1
ENSG00000196154,thinkstation2
ENSG00000198034,thinkstation1
ENSG00000228474,thinkstation2
